filterID,clubID,degree,faith,nationality,type,intA,intB,intC
1,1,HealthMedicalSciences,,,SocialStudy,Workshops,,
2,2,Engineering,,,SocialStudy,Workshops,,
3,3,,,Indonesian,ChillSocialising,Adventure,Workshops,
4,4,,,Malaysian,ChillSocialising,Games,Sport,
5,5,HealthMedicalSciences,,,SocialStudy,Workshops,Games,
6,6,,,African,PartyVibes,Adventure,Workshops,
7,7,Sciences,,,SocialStudy,Workshops,,
8,8,AlliedHealth,,,SocialStudy,Workshops,,
9,9,CreativeArts,,,ChillSocialising,PopCulture,DigitalMedia,
10,10,,,MiddleEastern,ChillSocialising,Workshops,Games,
11,11,Humanities,,,SocialStudy,Workshops,,
12,12,HealthMedicalSciences,,,SocialStudy,Workshops,,
13,13,,,,ChillSocialising,Sport,Adventure,
14,14,,,,ChillSocialising,FoodDrink,PopCulture,
15,15,CommerceAndLaw,,,SocialStudy,Workshops,,
16,16,,,,ChillSocialising,Games,PopCulture,
17,17,,Christian,,ChillSocialising,Workshops,,
18,18,Sciences,,,SocialStudy,Workshops,,
19,19,,,,ChillSocialising,Games,Sport,
20,20,,,Chinese,ChillSocialising,Games,Sport,
21,21,,Christian,,ChillSocialising,Activism,,
22,22,Engineering,,,SocialStudy,Workshops,,
23,23,HealthMedicalSciences,,,SocialStudy,Workshops,,
24,24,Computing,,,SocialStudy,Games,DigitalMedia,PopCulture
25,25,ManagementandMarketing,,,SocialStudy,Workshops,,
26,26,,,,ChillSocialising,Crafts,Workshops,
27,27,Computing,,,SocialStudy,Adventure,DigitalMedia,Games
28,28,Computing,,,SocialStudy,DigitalMedia,Adventure,
29,29,CreativeArts,,,ChillSocialising,DigitalMedia,,
30,30,,,,ChillSocialising,Sport,Adventure,
31,31,Education,,,SocialStudy,Workshops,,
32,32,Engineering,,,SocialStudy,Workshops,,
33,33,Engineering,,,PartyVibes,Games,Adventure,
34,34,Engineering,,,ProjectWork,Activism,,
35,35,CreativeArts,,,ProjectWork,Crafts,,
36,36,,,Filipino,PartyVibes,Sport,Games,
37,37,CreativeArts,,,ChillSocialising,DigitalMedia,,
38,38,CommerceAndLaw,,,SocialStudy,Workshops,,
39,39,,,,ChillSocialising,FoodDrink,Activism,
40,40,Computing,,,ChillSocialising,Games,Workshops,
41,41,,,,ChillSocialising,Games,PopCulture,DigitalMedia
42,42,Engineering,,,SocialStudy,Workshops,,
43,43,,,,ChillSocialising,Activism,,
44,44,,Hindu,,ChillSocialising,Workshops,,
45,45,,,Chinese,ChillSocialising,Games,Workshops,
46,46,ManagementAndMarketing,,,SocialStudy,Workshops,,
47,47,CreativeArts,,,ChillSocialising,Crafts,DigitalMedia,
48,48,CommerceAndLaw,,,ChillSocialising,Workshops,,
49,49,ManagementAndMarketing,,,SocialStudy,Workshops,,
50,50,,,Japanese,ChillSocialising,Workshops,,
51,51,,,SouthAsian,ChillSocialising,,,
52,52,,,,ChillSocialising,Activism,Workshops,
53,53,ManagementAndMarketing,,,SocialStudy,DigitalMedia,Crafts,Adventure
54,54,Engineering,,,SocialStudy,Workshops,,
55,55,,,MiddleEastern,ChillSocialising,Games,Workshops,Activism
56,56,,,,ChillSocialising,FoodDrink,Adventure,Workshops
57,57,,,,ProjectWork,Music,,
58,58,,Muslim,,ChillSocialising,Workshops,Games,
59,59,CreativeArts,,,ChillSocialising,DigitalMedia,,
60,60,Sciences,,,SocialStudy,Workshops,Games,
61,61,,,,ProjectWork,DigitalMedia,,
62,62,,,,ChillSocialising,PopCulture,DigitalMedia,Games
63,63,AlliedHealth,,,SocialStudy,Workshops,,
64,64,CommerceAndLaw,,,SocialStudy,Workshops,,
65,65,Engineering,,,ProjectWork,Robotics,Workshops,Games
66,66,HealthMedicalScience,,,SocialStudy,Workshops,,
67,67,,,Singaporean,ChillSocialising,Games,,
68,68,,,,ProjectWork,Music,Workshops,
69,69,,,,ChillSocialising,Sport,Games,
70,70,,,European,ChillSocialising,,,
71,71,Engineering,,,SocialStudy,Robotics,Workshops,
72,72,AlliedHealth,,,SocialStudy,Workshops,,
73,73,CommerceAndLaw,,,SocialStudy,Workshops,,
74,74,,,,ChillSocialising,Activism,,
75,75,,,,ChillSocialising,Activism,,
76,76,CommerceAndLaw,,,PartyVibes,Workshops,,
77,77,ManagementAndMarketing,,,SocialStudy,Workshops,,
78,78,HealthMedicalSciences,,,SocialStudy,Workshops,,
79,79,,,,ChillSocialising,Games,PopCulture,Adventure
80,80,CommerceAndLaw,,,SocialStudy,Workshops,,
81,81,,,Thai,ChillSocialising,FoodDrink,,
82,82,,,,ChillSocialising,Activism,Workshops,
83,83,,,,ChillSocialising,Crafts,,
84,85,HealthMedicalSciences,,,SocialStudy,Workshops,,
85,86,Sciences,,,SocialStudy,Workshops,,
86,87,Engineering,,,SocialStudy,Workshops,,
87,88,,,,PartyVibes,Music,Games,
88,89,,,FirstNations,ChillSocialising,Workshops,,
89,90,HealthMedicalSciences,,,SocialStudy,Workshops,,
90,91,AlliedHealth,,,SocialStudy,Workshops,,
91,92,,,Indonesian,ChillSocialising,Games,Sports,
92,93,,Sikh,,ChillSocialising,Workshops,Games,
93,94,,,,ChillSocialising,Activism,,
94,95,,,SouthAsian,ChillSocialising,Adventure,Games,
95,96,,,,ChillSocialising,Activism,,
96,97,,,,ProjectWork,Activism,,
97,98,,,,PartyVibes,Music,Workshops,
98,99,,,Vietnamese,ChillSocialising,Sport,,
99,100,Engineering,,,ProjectWork,Sport,Games,Adventure
100,101,Engineering,,,ProjectWork,Sport,Games,Adventure
101,102,Engineering,,,ProjectWork,Sport,Games,Adventure
102,103,AlliedHealth,,,SocialStudy,Workshops,,
103,104,Sciences,,,SocialStudy,Workshops,,
104,105,CommerceAndLaw,,,SocialStudy,Workshops,Activism,
105,106,Engineering,,,SocialStudy,Workshops,Activism,
106,107,Engineering,,,SocialStudy,Workshops,Activism,
107,108,AlliedHealth,,,SocialStudy,Workshops,,
