id,clubID,eventTitle,eventDescription,eventLocation,eventDate,startsAt,endsAt,imageURL,isGeneralMeeting,ticketLink
00001,null,Paint & Chill: Board Games & Painting,"🎨 Paint & Chill (Exam De-Stress)\nFeeling overwhelmed with exams?\nCome take a proper break,  no pressure, no expectations.\n \n \n \nWhat’s happening?\nWe have 2 separate spaces same Building  so you can choose what you need:\n🖌 Paint Room\n\nPaint canvases, coasters, or bookmarks\nNo experience needed\nJust sit down and start\n\n \n🛋 Chill Lounge\n\nFun, relaxed \nBoard games available\nSit, rest, or hang out while your paint dries\n\n \nExtra\n✨ Headspace will be there\n\nMental health support\nResources if you need them\nOr just a calm presence\n\n \nFood\n🥪 Bring your own food & drinks\n\nEat in the lounge space\nStay comfortable while you’re there\n\n \nEvent Details\nMonday, 18 May\n11:00 AM - 3:00 PM\nOn campus 106A.108\nDrop in anytime.\nStay as long or as little as you want.\n \n \n \nWhy come?\n\n\nTake a break without guilt\n\n\nDo something calming with your hands\n\n\nBe around people without pressure","106A.108 Kent St, Bentley WA 6102, Australia",18_May_2026,11:00,16:00,../../src/assets/eventImages/Paint&Chill_BoardGames&Painting_18_May_2026.jpg,False,https://alliedhealth.cguild.club/public/schedule/events/84824-paint-chill-board-games-painting
00002,null,Allied-Health Networking Night,"LinkedIn Networking Night (6:30 pm - 8:30 pm)\nCurtin Allied Health Club – Career Boost Event\nJoin us for an evening designed to level up your professional game. This isn’t just another workshop,  it’s your chance to:\n\n\nBuild a LinkedIn profile with the help of a career expert \n\n\nGet a professional headshot to stand out online\n\n\nNetwork with future colleagues across Allied Health and Nursing\n\n\nEvent Schedule\n6:30 – 7:30 PM | Professional Headshots\n\n\nUpgrade your profile picture with the Photography Club\n\n\nLook like the LinkedIn baddie you are\n\n\n7:30 – 8:30 PM | LinkedIn Masterclass\nSpeaker: Jeanelle Willey, Founder of ResuDoc | Student Career Readiness\n\n\nLearn expert strategies to make your profile shine\n\n\nGet insider tips on networking and personal branding\n\n\n8:30 – 9:30 PM | Bonus Networking & Insights (Optional)\n\n\nMeet students and connect with guest speaker(s)\n\n\nLearn how different healthcare roles work together\n\n\nAsk questions, share experiences, and gain advice\n\n\nBuild genuine connections in a relaxed setting\n\n\nWhy you can’t miss this\n\n\nBuild connections that could shape your career\n\n\nWalk away with skills you can use immediately\n\n\nStart up your LinkedIn profile and learn LinkedIn Tactics\n\n\n \n🎁 Bonus Giveaway\nWin a Personalised Career Support Package\nfrom Jeanelle Willey (Founder of ResuDoc)\nThis package is fully tailored to you and your career goals, and may include:\n\n\nLinkedIn profile optimisation\n\n\nResume feedback and refinement\n\n\nCover letter guidance\n\n\nPersonalised strategies based on your chosen career path\n\n\nFlexible attendance, come for the whole event or drop in when you can. But make no mistake,  this is the event your future self will thank you for.","Curtin 500.1102AB Kent St, Bentley WA 6102, Australia",28_Apr_2026,18:30,21:30,../../src/assets/eventImages/Allied-HealthNetworkingNight_28_Apr_2026.jpg,False,https://alliedhealth.cguild.club/public/schedule/events/83462-allied-health-networking-night
00003,null,Slime Day,"🧪 SLIME DAY  TICKETS 🎟️  \nNeed a break that actually works? This is it.  \nWhat you’ll get:  \n* Make your own slime (fully custom)  \n* Add charms + decorate your container with stickers  \n* Snacks + drinks included  \n* Chill, low-pressure space to switch off  \nWhy people love it:  \nHands-on, creative, and calming, it helps your brain slow down without trying too hard.  \n👯 Come with friends or come solo  \n(You won’t feel out of place either way)  \n⏰ 5PM – 8PM | April 2nd  \n💰 $2 Members | $5 Non-members  \n⚠️ Limited spots \n👉 Get your ticket now!!!!","202.139 Kent St, Bentley WA 6102, Australia",02_Apr_2026,17:00,20:00,../../src/assets/eventImages/SlimeDay_02_Apr_2026.jpg,False,https://alliedhealth.cguild.club/public/schedule/events/83122-slime-day
00004,null,Pub Crawl: Villains,Come along to our highly anticipated Pubcrawl - this time with the most evil icons in tow! Starting at Varsity Waterford and heading to different venues in your designated Party Bus chauffeur. Prizes given out for our best dressed fictional villain on the night.  Check out the itinerary of evil below.\nREMINDER: 18+ event - BUS LEAVES 7PM SHARP\nPlease be cautious of props as venues have discretion on entry.,"Varsity Waterford 55/230 Manning Rd, Karawara WA 6152, Australia",15_May_2026,15-05-2026 18:00,16-05-2026 00:00,../../src/assets/eventImages/PubCrawl_Villains_15_May_2026.jpg,False,https://cec.cguild.club/public/schedule/events/82142-pub-crawl-villains
00005,null,Mindful Painting with Headspace X CPS X CAHC,"🎨 Mindful Painting – Create, Relax, Connect 🎨\n📅 Tuesday, 21st October\n\n\n\n🕒 3:00pm – 5:30pm\n\n\n\n📍 Building 106A, Room 108\n🎟️ less then $3 event | Open to all students\n\n \nAbout the event\nTake a break from study stress and join us for Mindful Painting, a creative session designed to help you relax, focus, and enjoy the process of painting.\nIn this session, you’ll:\n\n🖌️ Paint coasters and bookmarks that you can take home.\n🌿 Practice mindfulness while exploring colours, patterns, and textures.\n💬 Connect with fellow students in a friendly, supportive space.\nNo prior art experience is needed — just bring your curiosity and creativity. Paints, brushes, and all materials will be provided.\nWhy join?\nMindful painting is a great way to:\n✨ Reduce stress and unwind\n✨ Express yourself creatively\n✨ Share laughs and enjoy a calm, social activity\nPssst… 🤫\nWe’ll have a little take-home surprise for everyone — a treat for your creativity!","Building 106A Room 108 Kent St, Bentley WA 6102, Australia",21_Oct_2025,15:00,17:30,../../src/assets/eventImages/MindfulPaintingwithHeadspaceXCPSXCAHC_21_Oct_2025.jpg,False,https://alliedhealth.cguild.club/public/schedule/events/77770-mindful-painting-with-headspace-x-cps-x-cahc
00006,null,CAHC X Headspace Friendship Yoga,"Friendship Yoga with Headspace\n \n📅 Thursday, 13th October\n\n\n\n🕜 1:30pm – 2:30pm\n\n\n\n📍 Room 407.305: CT\n🎟️ Free event | Open to all students\n\n \n🔒 Private + safe: This is a closed (No windows)  supportive space,  perfect for trying something new without pressure.\n😂 Fun challenge: Yoga with a friend can be grounding, a little wobbly, and often funny. Expect both connection and laughter.\n❌ Can’t make it? Cancel your ticket! Even though this is a free event, please cancel if you can’t attend so someone else can take your place.\n \nAbout the event\nTake a break from exam prep and join us for Friendship Yoga — a gentle, uplifting session designed to help you de-stress, recharge, and connect with others.\nThis event is run with Headspace and facilitated by Daniel, Head of the Curtin Yoga Club.\n \n \nWhat you’ll do\n🧘‍♀️ Try a beginner-friendly yoga flow (no experience needed).\n🤝 Work in pairs and small groups to build trust and teamwork.\n🌿 Learn breathing + mindfulness techniques for everyday stress.\n💬 Connect with others in a welcoming, inclusive space.\n \nWhat to bring\n\n\nComfortable clothes\n\n\nA friend \n\n\nAn open mind\n\n\nMats are provided, or bring your own\n\n\n \n🌿 Part of Mental Health Month 🌿\n📅 9/10 – Gratitude Journalling Night with Headspace 📝\n📅 21/10 – Mindful Painting 🎨\n📅 24/10 – Games Night 🎲\nTake care of your mind, body, and community 💚",Null,13_Oct_2025,13:30,15:30,../../src/assets/eventImages/CAHCXHeadspaceFriendshipYoga_13_Oct_2025.jpg,False,https://alliedhealth.cguild.club/public/schedule/events/77769-cahc-x-headspace-friendship-yoga
00007,null,Ke-Zemesta Block Party,"Ke-Zemesta Block Party 🔥\nGet ready for an unforgettable night as the Curtin African Students Association (CASA) brings the heat back to campus with our first CASA party of the year. Join us at the Hayman Theatre Courtyard for an evening of Afrobeats, good food, great energy, and pure vibes with the CASA community.\nFrom 7 PM to 10 PM, expect a vibrant atmosphere where music, culture, and celebration come together. Our DJ lineup will keep the energy high all night with the best in Afrobeats, Amapiano, and Afro-fusion, creating the perfect soundtrack for a night of dancing and connection.\n🔥 Date: Friday 1 May\n🔥 Time: 7:00 PM – 10:00 PM\n🔥 Location: Hayman Theatre Courtyard, Curtin University\n🔥 Food & Drinks: Food packages available with tickets. Drinks sold separately at the venue.\n🎧 DJ Line-up:\nDJ Gamueh | Sizwe | Finesse\nCome hungry, come ready to dance, and come ready to experience one of the best Afro-vibe parties on campus.\n⚠️ This is an 18+ event. Please bring a valid ID.\nSecure your ticket and get ready for a night of music, culture, and unforgettable vibes with CASA","Hayman Theatre Building 302 Curtin University, Bentley WA 6102, Australia",01_May_2026,19:00,22:00,../../src/assets/eventImages/Ke-ZemestaBlockParty_01_May_2026.jpg,False,https://africanstudents.cguild.club/public/schedule/events/82734-ke-zemesta-block-party
00008,null,Link Up Live,"To connect university students with industry professionals in a collaborative networking environment that supports career growth, builds practical skills, and opens pathways to new opportunities.","Curtin University Kent St, Bentley WA 6102, Australia",15_Apr_2026,18:00,20:00,../../src/assets/eventImages/LinkUpLive_15_Apr_2026.jpg,False,https://africanstudents.cguild.club/public/schedule/events/83911-link-up-live
00009,null,Afro-Learn: LinkedIn and Resume Building,"Want to feel more confident putting yourself out there? Join us for an interactive workshop on building your LinkedIn profile and creating a resume that actually stands out.\nLed by a facilitator from Curtin Connect’s Careers team, you’ll get practical tips you can apply straight away.  Whether you’re starting from scratch or refining what you already have, this event is open to all.\nIt’s also the perfect way to get prepared for our upcoming networking event and start making the most of new opportunities.",Null,01_Apr_2026,16:00,18:00,../../src/assets/eventImages/Afro-Learn_LinkedInandResumeBuilding_01_Apr_2026.jpg,False,https://africanstudents.cguild.club/public/schedule/events/83356-afro-learn-linkedin-and-resume-building
00010,null,Afro-Learn: Games Night,"Afro-Learn: Game Night 🎲\nThe Curtin African Students Association (CASA) is excited to invite members to our upcoming Afro-Learn: Games Night, taking place on Wednesday, 18 March at The Commons (106A.101), Curtin University.\nAfro-Learn: Games Night is a free event designed as a relaxed and engaging space where students can connect, learn, and unwind through a variety of interactive games. The event combines fun with learning, offering activities that encourage teamwork, cultural exchange, and friendly competition.\nWhether you are looking to meet new people, strengthen friendships within the CASA community, or simply take a break from the stress of university life, this event is the perfect opportunity to do so in a welcoming and vibrant atmosphere.\n📍 Location: The Commons – 106A.101, Curtin University\n📅 Date: Tuesday, 18 March\n🎮 Activities: Board games, interactive games, and social activities\nWe look forward to seeing our members there for an evening of learning, laughter, and community.",Null,18_Mar_2026,18:30,21:30,../../src/assets/eventImages/Afro-Learn_GamesNight_18_Mar_2026.jpg,False,https://africanstudents.cguild.club/public/schedule/events/73247-afro-learn-games-night
